dt;treatment_flag;gross_amt_base;gross_amt_cross;gross_amt_other;unit_cnt_base;unit_cnt_cross;unit_cnt_other
09-09-2019;control;151313978.0;41260098.0;61502704.0;6860.0;2671.0;554.0
10-09-2019;control;134962909.0;34779708.0;72208452.0;4836.0;2397.0;993.0
11-09-2019;control;160595671.0;52277033.0;77097379.0;6845.0;4733.0;865.0
12-09-2019;control;151666119.0;34628458.0;35451867.0;4635.0;2393.0;405.0
13-09-2019;control;158109317.0;38140832.0;34588221.0;5846.0;3715.0;359.0
14-09-2019;control;80510490.0;22401331.0;25983638.0;3917.0;1421.0;598.0
15-09-2019;control;50391999.0;9171523.0;25673697.0;682.0;373.0;149.0
16-09-2019;control;143779052.0;37065956.0;44019933.0;5558.0;3074.0;743.0
17-09-2019;control;173398273.0;47995324.0;37492324.0;10980.0;3599.0;379.0
18-09-2019;control;153234894.0;41133399.0;48215424.0;5335.0;2668.0;538.0
19-09-2019;control;176733907.0;38537477.0;42995548.0;6789.0;2310.0;347.0
20-09-2019;control;91976649.0;29571513.0;35005211.0;2649.0;1628.0;263.0
21-09-2019;control;86809626.0;29449583.0;41139515.0;1718.0;1704.0;633.0
22-09-2019;control;55797762.0;18037445.0;33256743.0;945.0;399.0;155.0
23-09-2019;control;161565467.0;47463860.0;51006651.0;5374.0;4070.0;646.0
24-09-2019;control;154788688.0;44369584.0;37918225.0;11026.0;3164.0;499.0
25-09-2019;control;162965897.0;31443513.0;65502548.0;4133.0;1819.0;465.0
26-09-2019;control;146074080.0;36919191.0;50849556.0;5905.0;1819.0;494.0
27-09-2019;control;154222572.0;36903846.0;56384825.0;5472.0;2633.0;577.0
28-09-2019;control;88520319.0;17844853.0;25004512.0;3519.0;1037.0;241.0
29-09-2019;control;46724035.0;12249092.0;25661829.0;1846.0;860.0;189.0
30-09-2019;control;132704570.0;30086341.0;41659273.0;5589.0;2028.0;341.0
01-10-2019;control;127609987.0;35587862.0;30431473.0;4924.0;2600.0;532.0
